id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
731,Grand Theft Auto IV,https://www.igdb.com/g/kb,8.34936343775198,Main Game,"[""Apr 29, 2008 (North America [NA])"", ""Apr 29, 2008 ()"", ""Apr 29, 2008 ()"", ""Oct 30, 2008 (Japan [JP])"", ""Apr 29, 2008 (Europe [EU])"", ""Dec 02, 2008 ()""]","[""Xbox 360"", ""PC (Microsoft Windows)"", ""PlayStation 3""]","[""Adventure"", ""Racing"", ""Shooter""]","[""Action"", ""Open world""]","[""Take-Two Interactive"", ""Rockstar Games"", ""Rockstar Toronto"", ""Rockstar North""]",""
565,Uncharted 2: Among Thieves,https://www.igdb.com/g/fp,8.93947175819445,Main Game,"[""Oct 13, 2009 (North America [NA])"", ""Oct 15, 2009 (Australia [AU])"", ""Oct 16, 2009 (Europe [EU])"", ""Oct 15, 2009 (Japan [JP])""]","[""PlayStation 3""]","[""Adventure"", ""Platform"", ""Shooter""]","[""Action"", ""Fantasy"", ""Historical""]","[""Sony Computer Entertainment"", ""Naughty Dog""]",""
74,Mass Effect 2,https://www.igdb.com/g/22,9.14293072646478,Main Game,"[""Jan 26, 2010 (Worldwide [WW])"", ""Jan 26, 2010 (North America [NA])"", ""Jan 21, 2011 (Europe [EU])"", ""Jan 29, 2010 (Europe [EU])"", ""Jan 28, 2010 (Australia [AU])"", ""Jan 29, 2010 (Europe [EU])"", ""Jan 27, 2011 (Australia [AU])"", ""Jan 18, 2011 (North America [NA])""]","[""Xbox 360"", ""PC (Microsoft Windows)"", ""PlayStation 3""]","[""Adventure"", ""Role-playing (RPG)"", ""Shooter"", ""Simulator""]","[""Action"", ""Science fiction""]","[""Electronic Arts"", ""BioWare"", ""BioWare Edmonton"", ""BioWare Montréal""]",""
472,The Elder Scrolls V: Skyrim,https://www.igdb.com/g/d4,8.75523215555553,Main Game,"[""Nov 10, 2011 (Worldwide [WW])"", ""Nov 10, 2011 (North America [NA])"", ""Dec 08, 2011 (Japan [JP])"", ""Dec 08, 2011 (Japan [JP])"", ""Dec 08, 2011 (Japan [JP])"", ""Nov 11, 2011 (Worldwide [WW])"", ""Nov 11, 2011 (North America [NA])"", ""Nov 11, 2011 (Europe [EU])"", ""Nov 11, 2011 (Worldwide [WW])""]","[""Xbox 360"", ""PC (Microsoft Windows)"", ""PlayStation 3""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Open world"", ""Sandbox"", ""Stealth""]","[""Bethesda Game Studios"", ""Bethesda Softworks""]",""
1318,XCOM: Enemy Unknown,https://www.igdb.com/g/10m,8.29279699116001,Main Game,"[""Oct 09, 2012 ()"", ""Oct 09, 2012 (North America [NA])"", ""Jun 19, 2014 (Worldwide [WW])"", ""Apr 25, 2013 (Worldwide [WW])"", ""Oct 09, 2012 ()"", ""Oct 09, 2012 ()"", ""Oct 12, 2012 (Europe [EU])""]","[""Linux"", ""Xbox 360"", ""Mac"", ""PC (Microsoft Windows)"", ""PlayStation 3""]","[""Role-playing (RPG)"", ""Simulator"", ""Strategy"", ""Tactical"", ""Turn-based strategy (TBS)""]","[""Action"", ""Science fiction"", ""Warfare""]","[""2K Games"", ""Firaxis Games"", ""Feral Interactive""]",""
1009,The Last of Us,https://www.igdb.com/g/s1,9.32168357470949,Main Game,"[""Jun 14, 2013 (Europe [EU])"", ""Jun 14, 2013 (North America [NA])""]","[""PlayStation 3""]","[""Adventure"", ""Shooter""]","[""Action"", ""Horror"", ""Stealth"", ""Survival""]","[""Sony Computer Entertainment"", ""Naughty Dog""]",""
3025,Middle'-earth: Shadow of Mordor,https://www.igdb.com/g/2c1,8.01528163353956,Main Game,"[""Sep 30, 2014 (North America [NA])"", ""Oct 08, 2014 (Australia [AU])"", ""Nov 21, 2014 (Europe [EU])"", ""Dec 25, 2014 (Japan [JP])"", ""Oct 08, 2014 (Australia [AU])"", ""Oct 08, 2014 (Australia [AU])"", ""Sep 30, 2014 (North America [NA])"", ""Nov 26, 2014 (Australia [AU])"", ""Dec 25, 2014 (Japan [JP])"", ""Dec 25, 2014 (Japan [JP])"", ""Jul 30, 2015 (North America [NA])"", ""Nov 21, 2014 (Europe [EU])"", ""Oct 03, 2014 (Europe [EU])"", ""Oct 03, 2014 (Europe [EU])"", ""Oct 03, 2014 (Europe [EU])"", ""Nov 26, 2014 (Australia [AU])"", ""Jul 30, 2015 (Worldwide [WW])"", ""Jul 30, 2015 (Worldwide [WW])"", ""Nov 18, 2014 (North America [NA])"", ""Sep 30, 2014 (North America [NA])"", ""Nov 18, 2014 (North America [NA])""]","[""Xbox One"", ""PlayStation 4"", ""Linux"", ""Xbox 360"", ""Mac"", ""PC (Microsoft Windows)"", ""PlayStation 3""]","[""Adventure"", ""Hack and slash/Beat 'em up"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Open world"", ""Stealth""]","[""Monolith Productions"", ""Feral Interactive"", ""WB Games"", ""Behaviour Interactive""]",""
7339,Super Mario Maker,https://www.igdb.com/g/5nv,8.19935925440385,Main Game,"[""Sep 10, 2015 (North America [NA])"", ""Sep 10, 2015 (Japan [JP])"", ""Sep 11, 2015 (Europe [EU])"", ""Sep 11, 2015 (Worldwide [WW])""]","[""Wii U""]","[""Platform""]","[""Action"", ""Kids""]","[""Nintendo"", ""Nintendo EAD Group No. 4""]",""
11157,HITMAN,https://www.igdb.com/g/8lx,8.09553028559511,Main Game,"[""Mar 11, 2016 (Worldwide [WW])"", ""Feb 16, 2017 (Worldwide [WW])"", ""Mar 11, 2016 (Worldwide [WW])"", ""Sep 01, 2020 (Worldwide [WW])"", ""Jun 21, 2017 (Worldwide [WW])"", ""Mar 11, 2016 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""Linux"", ""Mac"", ""PC (Microsoft Windows)"", ""Google Stadia""]","[""Adventure"", ""Shooter"", ""Tactical""]","[""Action"", ""Open world"", ""Stealth""]","[""Square Enix"", ""Nixxes Software"", ""Feral Interactive"", ""Mi'pu'mi Games"", ""Sumo Digital"", ""IO Interactive""]",""
27789,PUBG: BATTLEGROUNDS,https://www.igdb.com/g/lfx,7.36097013190808,Main Game,"[""Sep 04, 2018 (North America [NA])"", ""Dec 07, 2018 (Worldwide [WW])"", ""Apr 28, 2020 (Worldwide [WW])"", ""Sep 04, 2018 ()"", ""Dec 20, 2017 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""PC (Microsoft Windows)"", ""Google Stadia""]","[""Indie"", ""Shooter""]","[""Action"", ""Warfare""]","[""PUBG Corp"", ""Bluehole Studio"", ""Microsoft Studios"", ""The Coalition""]",""
